X1,X2,Y
9.62463454,8.521227052,760.3425489
7.246414198,1.453847688,334.0626411
7.682933313,10.87410046,783.7247378
2.363141849,4.544764425,401.0731571
5.788608633,13.59126717,901.4872673
0.849521137,11.0356629,762.7720244
2.563805285,1.221544415,584.582112
9.562987544,9.576582975,603.990218
9.572434855,9.09067259,819.205783
5.215234037,16.88427498,793.0998217
7.632797276,7.412847445,557.8908313
8.638051819,18.00813543,1309.570538
5.922346971,8.326949167,910.2772076
4.536763389,10.65747745,956.2043661
5.926268842,3.424277467,419.1982554
7.846918743,3.142649044,676.8811907
5.149905131,3.332363544,330.5412462
6.101607017,4.872835029,839.4810308
9.314294615,8.094971687,651.4570184
0.797353665,15.71024797,601.6563749
4.640487818,1.986881247,376.0243481
0.000641634,18.53365085,1056.775835
8.354929931,6.618857644,878.3543575
3.470142886,5.149481583,632.9600819
5.475061453,15.80215231,1042.410489
1.245431049,14.64238832,826.7456137
9.879496727,3.799550408,572.0474678
6.704287808,18.8245091,881.2294518
0.177287654,4.920077793,649.8499242
0.202861834,4.701448272,251.4169893
9.958912949,11.08663102,1014.359907
4.382517233,18.8443071,1085.998483
6.358564209,17.06153069,1188.283252
4.647330274,7.8536783,556.7486439
4.344737867,13.16371572,1004.688347
2.800291648,0.264374016,552.2362796
2.373130384,14.08047984,753.5617536
8.097528641,12.30506616,1118.80593
1.419690744,3.226925285,194.0455398
9.425508181,8.809516212,1036.784656
8.602626913,6.123048985,716.5775798
1.872668389,4.610231483,539.1090189
5.916574084,8.782619115,677.5674811
4.644501613,1.210763155,253.3614735
9.236266859,18.98722646,1326.670715
0.407064223,9.688460399,445.0763409
8.603204634,8.37668782,776.584702
2.746442851,12.70037055,542.1496719
9.914024928,8.995688327,1040.406427
1.520786229,6.296444346,642.3454746
5.74566682,6.510729367,559.2985416
0.332750869,13.09616664,873.4080677
1.090232966,7.599668598,530.1139929
8.76495396,0.100973302,685.705748
8.131476446,12.86902565,1104.002011
4.515566842,18.82828697,963.8813362
3.599605318,4.440976786,574.1502389
4.650997968,19.88387761,1026.59112
3.942021374,8.209511673,462.0765016
0.937360214,15.64234697,802.8754287
4.321779501,11.53821065,711.5446856
9.411472604,8.655573204,800.3604802
5.523740261,2.144742041,370.8272663
8.794835381,12.65906286,750.9322745
3.86650048,10.34878558,667.2603098
0.56818439,12.1005973,773.0283709
3.359025064,5.053114651,506.713552
0.89523714,9.527819862,734.5339519
0.624062246,0.644983271,461.11457
5.623697403,10.81872128,852.8573181
0.727584489,7.273258919,368.233222
8.56041886,8.050130754,944.6032827
2.616452606,7.808050632,457.9883963
2.950140648,9.573747172,543.3394478
2.170538595,19.78974222,1071.076156
3.795181036,19.36840972,1135.658454
5.991257617,15.20702763,1010.012222
2.321569845,18.03756827,784.6065209
1.056059963,11.65826813,847.93629
3.198926985,8.622345078,768.0043112
9.424156672,7.674861439,997.2156346
1.555515821,16.83416518,755.6412875
1.846924527,5.288902474,582.4210409
6.44449748,13.98907651,874.5113836
7.468064406,4.922401141,579.2945022
6.781202171,2.960342379,522.4651483
7.876731781,8.067205226,664.1661727
1.109718238,0.768753005,108.5329113
0.565611335,3.361554446,311.6548463
5.276686718,18.3826071,784.799267
9.498418534,15.36822867,955.8798271
7.559326993,7.653677205,681.1822756
5.23728253,5.878255833,766.8971334
4.442148614,19.03920934,814.5906216
2.570974178,9.69112771,563.366627
3.509972526,14.43716991,600.6828648
2.916080472,2.819321157,257.5655987
0.089974662,12.78556763,691.834017
5.208469126,7.765647307,726.2998319
4.428767591,2.871729098,316.8149135
